tamano,operacion,tiempo_s
1000,insertar,6.9500005338341e-05
1000,insertar_ordenado,7.609999738633633e-05
1000,obtener,1.700012944638729e-06
1000,buscar_lineal,4.730001091957092e-05
1000,buscar_binaria,2.400018274784088e-06
10000,insertar,0.0006959000020287931
10000,insertar_ordenado,0.0007234999793581665
10000,obtener,6.00004568696022e-07
10000,buscar_lineal,0.0004653000505641103
10000,buscar_binaria,2.700020559132099e-06
80000,insertar,0.005388900055550039
80000,insertar_ordenado,0.0060267000226303935
80000,obtener,8.00006091594696e-07
80000,buscar_lineal,0.0037460000021383166
80000,buscar_binaria,3.6999699659645557e-06
200000,insertar,0.013957499992102385
200000,insertar_ordenado,0.014802299963776022
200000,obtener,1.00000761449337e-06
200000,buscar_lineal,0.009361699980217963
200000,buscar_binaria,3.7999707274138927e-06
